scene_id,method,static_group,baseline_score,method_score,delta
clipgt-01d503d4-449b-46fc-8d78-9085e70d3554,Wanda,0,1.0,1.0,0.0
clipgt-023b7fcc-671c-40e3-9bd2-c66b0b073fbc,Wanda,0,1.0,0.0,-1.0
clipgt-0245ff75-aa3f-46b7-ba87-16a7afb841af,Wanda,0,1.0,0.2946581117926703,-0.7053418882073297
clipgt-026d6a39-bd8f-4175-bc61-fe50ed0403a3,Wanda,0,1.0,1.0,0.0
clipgt-02e075b9-fd24-426b-971b-7cfcb2074cc9,Wanda,0,1.0,0.0,-1.0
clipgt-02eadd92-02f1-46d8-86fe-a9e338fed0b6,Wanda,0,0.5412172128765891,0.9412686247245791,0.40005141184799
clipgt-032b6f21-6799-4ad8-8712-0405f087ac4a,Wanda,1,1.0,0.5275214762407341,-0.4724785237592659
clipgt-04394343-92f3-409c-9695-e7cd5397fa02,Wanda,1,0.6599796186994675,0.9856577974917711,0.32567817879230354
clipgt-04749bb9-9b37-495b-bed0-77f0e33ac7da,Wanda,2,0.4716857305942533,0.6152175092770482,0.14353177868279493
clipgt-048b974e-1546-488a-b8f9-d32bff77f5aa,Wanda,0,1.0,0.0,-1.0
clipgt-0499fb41-122d-4180-83af-f954a9974d3b,Wanda,1,1.0,0.0,-1.0
clipgt-04db1bb2-90fe-47a7-9d09-27d020c618d4,Wanda,0,1.0,1.0,0.0
clipgt-054b5901-fdcb-4146-b125-eb2bb333cf02,Wanda,1,1.0,1.0,0.0
clipgt-05a1d902-b975-4d11-a9ed-e6bfc774577f,Wanda,1,0.5,0.13581256696775668,-0.3641874330322433
clipgt-05bb8212-63e1-40a8-b4fc-3142c0e94646,Wanda,0,1.0,0.956698699769635,-0.04330130023036505
clipgt-05e74bef-0afa-468e-b679-b7f14079be30,Wanda,1,1.0,0.5,-0.5
clipgt-05ecbbf5-d88c-41b7-97f2-f4ac2615a8c9,Wanda,2,0.0,0.0,0.0
clipgt-05f35348-9de0-4f68-ac65-f31316dbb59e,Wanda,2,0.4600447250907778,0.65966529280862,0.19962056771784215
clipgt-060131e7-ee72-477c-89da-083e0b446566,Wanda,1,0.3214705605467744,1.0,0.6785294394532255
clipgt-065dcac9-ee67-4434-a835-c6b816c88e48,Wanda,2,0.405305330577895,0.5486369703366625,0.1433316397587675
clipgt-07981e6a-22dd-4796-ad2f-1252037ecd28,Wanda,2,1.0,1.0,0.0
clipgt-07ab4a5b-e934-4fff-b5d1-47efedadac47,Wanda,1,0.6797615555374792,0.0,-0.6797615555374792
clipgt-08990ec8-0ba9-4284-9919-65b71750a5fa,Wanda,2,0.3392768416380024,0.9668313737168548,0.6275545320788524
clipgt-095cf563-c5d6-4f4f-9e98-7f179e733560,Wanda,1,1.0,1.0,0.0
clipgt-096988dd-9367-4fdf-84f9-5a73c5061c6e,Wanda,0,0.9586301000298121,0.9493053283318338,-0.009324771697978296
clipgt-098e2482-6db2-473b-b08a-2a80be9320f3,Wanda,0,1.0,1.0,0.0
clipgt-09a95ffa-37b7-486d-9404-ac8cf1c3e045,Wanda,0,1.0,1.0,0.0
clipgt-09b3c476-dc23-4739-8586-15472e99ee9b,Wanda,1,0.5729060441141534,1.0,0.42709395588584664
clipgt-0a18c5a4-9aca-4efd-b604-c75f3269c502,Wanda,0,0.7484009555389689,1.0,0.2515990444610311
clipgt-0ac02819-4171-4363-9458-ad2f192884bf,Wanda,0,1.0,0.0,-1.0
clipgt-0aed52b3-1394-4dc3-8553-c60929e6acf8,Wanda,1,1.0,1.0,0.0
clipgt-0b10bce8-61f1-4350-8577-cf3c9493ffc3,Wanda,0,1.0,1.0,0.0
clipgt-0b1c9f60-1e7b-40e4-a221-f9e1c281aad7,Wanda,2,0.8170718999718869,0.5434267681441394,-0.2736451318277475
clipgt-0b54c8d4-8119-431e-9ae8-5c70f5e64716,Wanda,1,1.0,1.0,0.0
clipgt-0caa8f1a-3c23-4520-98b2-28be9697fbf4,Wanda,0,1.0,0.9913133454601768,-0.008686654539823202
clipgt-0ce02937-f31b-4b4e-8286-3af73ae8861e,Wanda,1,0.4515295696663836,0.8826510062892399,0.4311214366228563
clipgt-0ce6f2a3-a6cf-42c3-9133-111139be1dd1,Wanda,0,0.5,1.0,0.5
clipgt-0cf6368d-ff81-4489-b01e-4103371ba12c,Wanda,0,1.0,0.0,-1.0
clipgt-0d1fcd2c-ed47-4c72-b756-8e24bce0b9f4,Wanda,0,1.0,1.0,0.0
clipgt-0d4893f5-f575-4d98-b33f-0bdf3816bbed,Wanda,0,0.5,0.0,-0.5
clipgt-0d59b8c8-3706-4e32-82ed-3f6e0cfb6840,Wanda,0,0.5,0.86042914017425,0.36042914017425
clipgt-0d76134f-350d-44b5-a694-208e9dab9600,Wanda,0,0.10533005863629592,0.9582938897850495,0.8529638311487535
clipgt-0d79a6a0-4aa7-4eb1-aea1-31fd55bd71d7,Wanda,1,0.685996533737798,0.9650878045038516,0.27909127076605356
clipgt-0dbb91dd-8db1-4e10-b155-14fdf46218bc,Wanda,0,1.0,0.5,-0.5
clipgt-0e002edd-c307-437c-9b97-6a1f6d28ac91,Wanda,0,0.8232547798130478,1.0,0.17674522018695216
clipgt-0e02fb8c-182a-41a6-a194-010bc7ef4f28,Wanda,0,1.0,0.0,-1.0
clipgt-0e256b3c-e706-4d6c-ba17-751e4ab7f226,Wanda,0,1.0,1.0,0.0
clipgt-0e899dd3-e544-4a30-a689-f00d08ba5770,Wanda,0,0.9300855104108834,1.0,0.06991448958911661
clipgt-0f1f60d5-785b-4a47-8436-7046ad1a3d21,Wanda,2,0.21833549738956348,0.7616303463415166,0.5432948489519531
clipgt-0fa7060f-1481-4ff3-977e-510285e2515d,Wanda,0,1.0,1.0,0.0
clipgt-0fd06bc3-1899-4b45-9278-c5c018b3968d,Wanda,1,0.7162200182756784,0.574105892923386,-0.1421141253522924
clipgt-0fd2c051-f5e1-4416-9bb5-9b93d92f55fb,Wanda,0,1.0,1.0,0.0
clipgt-0feb3afa-28c0-4a48-b74c-636676892966,Wanda,2,1.0,0.49069709332725764,-0.5093029066727424
clipgt-0fee0fbf-439e-4901-a2aa-66152468491d,Wanda,1,1.0,1.0,0.0
clipgt-1089758a-8d07-48f8-9e9d-49f9a6bd18bd,Wanda,1,0.8632991172266754,0.0,-0.8632991172266754
clipgt-10d64934-74a5-40ce-b35e-6debe2cd3d9c,Wanda,0,1.0,0.0,-1.0
clipgt-11336325-e0c8-49ab-9f34-0be03dd1b8e2,Wanda,1,0.2508915710884967,1.0,0.7491084289115033
clipgt-118a3400-83ce-4a64-98dd-f38f786be4b2,Wanda,0,1.0,1.0,0.0
clipgt-11e62ffc-ebd9-448b-88ca-61796a5e5db6,Wanda,1,1.0,0.9716475713690873,-0.028352428630912696
