method,group,band,baseline_mean,method_mean,n,mean,lo,hi
Wanda,0,0–40%,0.8642227088941055,0.6897254264285638,73,-0.17449728246554164,-0.27453180558307766,-0.07444500859704617
Wanda,1,40–80%,0.7179179392046477,0.5791329942742706,52,-0.13878494493037713,-0.2666798363652499,-0.01661065624472395
Wanda,2,80–100%,0.4807532233369929,0.5083394237858759,25,0.027586200448883002,-0.13311273305808907,0.17621225555905412
LLM-Pruner,0,0–40%,0.8642227088941055,0.8548361854117233,73,-0.009386523482382007,-0.07823741691664572,0.05650950532830858
LLM-Pruner,1,40–80%,0.7179179392046477,0.8194613156428385,52,0.10154337643819085,0.024724665568709857,0.17982942419141987
LLM-Pruner,2,80–100%,0.4807532233369929,0.6622020028937076,25,0.18144877955671454,0.06826589851939958,0.29163194599555686
Týr-the-Pruner,0,0–40%,0.8642227088941055,0.8346803591792208,73,-0.029542349714884706,-0.09668637715100226,0.029760854626946342
Týr-the-Pruner,1,40–80%,0.7179179392046477,0.846019963609566,52,0.12810202440491822,0.04469422602048335,0.20755188266524072
Týr-the-Pruner,2,80–100%,0.4807532233369929,0.5211616090814463,25,0.0404083857444534,-0.07217770120710854,0.14844146055066937
Traj,0,0–40%,0.8642227088941055,0.8469807575287834,73,-0.017241951365322077,-0.07497169104036926,0.03437276016737756
Traj,1,40–80%,0.7179179392046477,0.8351384001403369,52,0.11722046093568908,0.03857457686532963,0.19816070227277158
Traj,2,80–100%,0.4807532233369929,0.48754682726367166,25,0.006793603926678746,-0.12257324889193014,0.14460905680057712
CoC,0,0–40%,0.8642227088941055,0.7685478942215367,73,-0.09567481467256875,-0.17644533252426858,-0.017054035422364097
CoC,1,40–80%,0.7179179392046477,0.5906143325297676,52,-0.1273036066748801,-0.2507783942834747,-0.0045417049068471075
CoC,2,80–100%,0.4807532233369929,0.4899082681613733,25,0.009155044824380405,-0.10959079574526917,0.12583272613766325
Dual,0,0–40%,0.8642227088941055,0.886279360315431,73,0.022056651421325464,-0.030626894038054863,0.07284413132310023
Dual,1,40–80%,0.7179179392046477,0.8443923417309852,52,0.12647440252633746,0.03745673656747758,0.21603165649524747
Dual,2,80–100%,0.4807532233369929,0.6254628003577944,25,0.1447095770208016,0.03155829050683175,0.25765981398507093
Dual + MLP93.75,0,0–40%,0.8642227088941055,0.8830174141175209,73,0.01879470522341531,-0.020046833384040143,0.059687165499732256
Dual + MLP93.75,1,40–80%,0.7179179392046477,0.7974702100264994,52,0.07955227082185178,-0.006751440141428207,0.1633945101072822
Dual + MLP93.75,2,80–100%,0.4807532233369929,0.5198270533558612,25,0.039073830018868314,-0.07851673668935061,0.15385527892082396
